,Date,Open,High,Low,Close,Volume,Yield,PercentageVolume,SMA6,EMA6,WMA6,HMA6,SMA20,EMA20,WMA20,HMA20,SMA50,EMA50,WMA50,HMA50,SMA100,EMA100,WMA100,HMA100,MACD,CCI,Stochastic Oscillator,RSI,ROC,PPO,KST,BOLU,BOLD,BOLM
108,2012-10-16 08:15,1.30032,1.30033,1.29969,1.29979,3183,-0.000408,0.002011,1.300047,1.299836,1.300109,1.300123,1.29807,1.298498,1.298883,1.300701,1.296639,1.297063,1.29745,1.299033,1.295921,1.295765,1.296387,1.297903,0.001092,61.01457,71.984436,61.760339,0.169545,0.084144,1.66176,1.299668,1.296394,1.298031
109,2012-10-16 08:30,1.29978,1.30068,1.29971,1.30064,2244,0.000662,0.004323,1.300248,1.300066,1.300279,1.300195,1.29827,1.298702,1.299128,1.300842,1.296742,1.297204,1.297607,1.299322,1.29598,1.295861,1.29648,1.298108,0.001127,68.814219,88.247012,69.471801,0.272917,0.086777,1.832909,1.299858,1.296583,1.298221
110,2012-10-16 08:45,1.30064,1.30069,1.29994,1.30058,2381,-4.6e-05,0.00315,1.300382,1.300213,1.300373,1.300486,1.29849,1.298881,1.299348,1.300953,1.296849,1.297336,1.297758,1.299603,1.296038,1.295955,1.296571,1.298316,0.001136,64.24791,85.294118,68.349172,0.14476,0.08748,2.000714,1.300062,1.296787,1.298425
111,2012-10-16 09:00,1.30057,1.30141,1.29875,1.29887,4104,-0.001307,0.006481,1.300045,1.299829,1.299941,1.299873,1.298614,1.29888,1.299384,1.300844,1.296922,1.297396,1.297837,1.29982,1.296081,1.296012,1.296628,1.298506,0.000994,32.804765,43.80531,44.631864,0.023102,0.076536,2.150721,1.300235,1.29696,1.298598
112,2012-10-16 09:15,1.29888,1.29914,1.2984,1.29905,3977,0.000131,0.001861,1.299877,1.299606,1.299657,1.299065,1.298735,1.298896,1.299425,1.300608,1.297006,1.297461,1.29792,1.299984,1.296106,1.296073,1.296686,1.29868,0.000886,-1.333096,47.787611,46.871038,0.014628,0.068194,2.275793,1.300347,1.297072,1.29871
113,2012-10-16 09:30,1.29903,1.29985,1.29896,1.29985,2426,0.000631,0.003669,1.299797,1.299676,1.29965,1.299071,1.298906,1.298987,1.299532,1.300369,1.297113,1.297555,1.298032,1.300129,1.296141,1.296147,1.29676,1.298847,0.000854,27.833586,51.552795,55.996946,0.072368,0.065793,2.374947,1.300502,1.297227,1.298864
114,2012-10-16 09:45,1.29983,1.30094,1.2997,1.30072,2309,0.000685,0.00537,1.299952,1.299974,1.299913,1.29999,1.299138,1.299152,1.299704,1.30025,1.297235,1.297679,1.298173,1.300281,1.296186,1.296238,1.296851,1.299015,0.00089,68.123409,78.571429,63.799495,0.099274,0.068502,2.44229,1.300714,1.297439,1.299077
115,2012-10-16 10:00,1.30071,1.30083,1.30008,1.30052,1839,-0.000146,0.004078,1.299932,1.30013,1.300076,1.300713,1.299354,1.299282,1.299836,1.300227,1.297354,1.29779,1.298302,1.300433,1.296235,1.296323,1.296937,1.29918,0.000891,70.58903,72.360248,60.933544,0.056933,0.068615,2.483171,1.300926,1.297652,1.299289
116,2012-10-16 10:15,1.30052,1.30144,1.30045,1.30127,2662,0.000577,0.003719,1.300047,1.300456,1.300458,1.301224,1.299576,1.299471,1.300018,1.300346,1.297485,1.297927,1.298456,1.300602,1.296282,1.296421,1.297037,1.299352,0.000942,103.492075,94.407895,67.291179,0.029211,0.072523,2.507219,1.301147,1.297872,1.29951
117,2012-10-16 10:30,1.30124,1.3017,1.30078,1.3014,2798,0.000123,0.003288,1.300468,1.300726,1.300845,1.301516,1.299766,1.299655,1.300192,1.300551,1.297622,1.298063,1.298609,1.300788,1.296336,1.296519,1.297138,1.299529,0.000982,113.353805,90.909091,68.322221,0.103072,0.075554,2.519702,1.301344,1.298069,1.299707
